"﻿""Persoonskenmerken""",Marges,Perioden,"Rookgedrag, 12 jaar of ouder/Rookstatus/Rokers (%)","Rookgedrag, 12 jaar of ouder/Rookstatus/Ex-rokers (%)","Rookgedrag, 12 jaar of ouder/Rookstatus/Nooit-rokers (%)","Rookgedrag, 12 jaar of ouder/Rokers/Dagelijkse rokers onder bevolking (%)","Rookgedrag, 12 jaar of ouder/Rokers/Dagelijkse rokers onder rokers (%)","Rookgedrag, 12 jaar of ouder/Rokers/Zware rokers onder bevolking (%)","Rookgedrag, 12 jaar of ouder/Rokers/Zware rokers onder rokers (%)","Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Sigarettenrokers (%)","Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Sigaretten per dag per roker  (aantal)","Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Rookjaren huidige sigarettenrokers (aantal)","Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Stoppoging in afgelopen 12 maanden (%)","Rookgedrag, 12 jaar of ouder/Ex-sigarettenrokers/Rookjaren ex-sigarettenrokers (aantal)","Rookgedrag, 12 jaar of ouder/Ex-sigarettenrokers/Stopjaren ex-sigarettenrokers (aantal)",Meeroken onder niet-rokers/(Bijna) nooit (%),"Alcoholgebruik, 12 jaar of ouder/Drinkers/Glazen alcohol per dag per drinker (aantal)","Drugsgebruik, 12 jaar of ouder/Cannabisgebruik/Afgelopen jaar (%)","Drugsgebruik, 12 jaar of ouder/Amfetaminegebruik/Afgelopen jaar (%)","Drugsgebruik, 12 jaar of ouder/Ecstasygebruik/Afgelopen jaar (%)","Drugsgebruik, 12 jaar of ouder/Cocaïnegebruik/Afgelopen jaar (%)","Drugsgebruik, 12 jaar of ouder/Gebruik overige drugs/Afgelopen jaar (%)","Drugsgebruik, 12 jaar of ouder/Drugsgebruik totaal/Afgelopen jaar (%)","Lengte en gewicht/Opgegeven gewicht, 18 jaar of ouder (aantal)"
Vermogen: 2e 20%-groep,Waarde,2016,    37.1,    21.4,    41.5,    32.2,    86.9,     8.6,    23.2,    35.0,    12.0,    27.7,    32.4,    20.5,    17.1,,     1.3,    11.7,     1.6,     3.5,     3.2,     2.2,    13.8,    77.2
Vermogen: 3e 20%-groep,Waarde,2016,    22.4,    29.3,    48.3,    18.2,    81.0,     4.5,    19.9,    20.7,    11.5,    28.8,    31.4,    20.9,    18.6,,     1.2,     5.7,     1.1,     2.4,     1.9,     1.8,     7.5,    76.8
Vermogen: 4e 20%-groep,Waarde,2016,    18.7,    33.2,    48.1,    13.3,    71.4,     2.6,    13.8,    17.1,     9.7,    27.8,    32.8,    18.9,    22.6,,     1.2,     3.8,     1.0,     1.9,     0.7,     1.0,     4.9,    78.1
Vermogen: 5e 20%-groep,Waarde,2016,    13.0,    34.9,    52.1,     8.6,    66.2,     1.3,    10.2,    11.2,     9.0,    30.3,    32.2,    19.3,    26.1,,     1.3,     3.7,     0.7,     1.7,     0.8,     1.2,     4.8,    76.5
Totaal personen,Waarde,2017,    21.7,    30.1,    48.2,    16.1,    74.3,     3.3,    15.4,    19.8,    10.2,    26.3,    37.0,    19.2,    20.1,,     1.3,     7.1,     1.4,     2.5,     1.7,     1.7,     8.5,    77.7
Geslacht: Mannen,Waarde,2017,    25.3,    31.0,    43.7,    18.7,    73.8,     4.0,    15.8,    22.3,    10.5,    25.4,    38.1,    20.3,    20.0,,     1.6,     9.4,     1.8,     3.1,     2.3,     2.4,    11.0,    84.6
Geslacht: Vrouwen,Waarde,2017,    18.1,    29.3,    52.5,    13.6,    74.9,     2.7,    14.9,    17.5,     9.8,    27.5,    35.7,    18.1,    20.3,,     0.9,     4.8,     0.9,     2.0,     1.1,     1.0,     6.2,    71.0
Leeftijd: 0 tot 4 jaar,Waarde,2017,,,,,,,,,,,,,,,,,,,,,,
Leeftijd: 4 tot 12 jaar,Waarde,2017,,,,,,,,,,,,,,,,,,,,,,
Leeftijd: 12 tot 16 jaar,Waarde,2017,     1.6,     1.4,    97.0,     0.9,,     0.0,,     1.4,,,,,,,,     1.7,     0.5,     0.3,     0.3,     0.5,     2.1,
Leeftijd: 16 tot 20 jaar,Waarde,2017,    19.3,     5.1,    75.6,     8.7,,     1.4,,    19.1,,,,,,,     1.2,    19.4,     2.1,     3.0,     0.8,     3.4,    20.2,    68.8
Leeftijd: 20 tot 30 jaar,Waarde,2017,    30.9,    11.7,    57.4,    18.4,    59.7,     2.3,     7.6,    28.5,     7.7,     8.2,    40.1,     5.4,     3.4,,     1.4,    21.6,     5.7,    10.5,     6.9,     6.2,    26.4,    73.6
Leeftijd: 30 tot 40 jaar,Waarde,2017,    26.6,    23.7,    49.7,    19.1,    71.6,     3.4,    12.8,    25.3,     9.6,    17.7,    40.8,    10.3,     8.2,,     1.2,     8.9,     1.6,     3.4,     2.7,     1.7,    11.2,    77.3
Leeftijd: 40 tot 50 jaar,Waarde,2017,    25.6,    26.2,    48.1,    19.9,    77.7,     5.2,    20.3,    23.3,    11.1,    27.2,    36.1,    15.4,    12.2,,     1.2,     4.7,     0.4,     1.5,     1.0,     1.0,     6.0,    80.5
Leeftijd: 50 tot 55 jaar,Waarde,2017,    24.7,    31.7,    43.5,    20.8,    84.1,     6.0,    24.3,    22.3,    12.1,    35.3,    33.6,    19.0,    16.4,,     1.2,     3.8,     0.7,     0.7,     0.6,     0.9,     4.6,    80.4
Leeftijd: 55 tot 65 jaar,Waarde,2017,    22.9,    45.2,    31.9,    19.4,    84.4,     4.1,    18.0,    20.6,    11.7,    41.6,    37.3,    21.2,    22.2,,     1.4,     2.4,     0.2,     0.4,     0.2,     0.3,     2.9,    79.8
Leeftijd: 65 tot 75 jaar,Waarde,2017,    15.4,    53.0,    31.6,    13.6,    88.3,     3.3,    21.4,    13.5,    13.0,    51.7,    26.9,    24.2,    27.3,,     1.5,     0.3,     0.1,     0.0,     0.0,     0.1,     0.5,    79.2
Leeftijd: 75 jaar of ouder,Waarde,2017,     8.6,    53.2,    38.2,     7.7,,     0.8,,     7.4,,,,    27.2,    34.6,,     1.2,     0.6,     0.0,     0.2,     0.0,     0.2,     0.8,    74.2
Leeftijd: 0 tot 12 jaar,Waarde,2017,,,,,,,,,,,,,,,,,,,,,,
Leeftijd: 12 tot 18 jaar,Waarde,2017,     6.2,     2.4,    91.4,     3.8,,     0.8,,     6.1,,,,,,,     0.8,     6.2,     0.5,     0.4,     0.2,     1.1,     6.5,
Leeftijd: 18 jaar of ouder,Waarde,2017,    23.1,    32.6,    44.3,    17.2,    74.6,     3.6,    15.5,    21.1,    10.2,    26.9,    36.7,    19.3,    20.2,,     1.3,     7.2,     1.4,     2.7,     1.8,     1.7,     8.7,    77.7
Herkomst: geboren in Nederland,Waarde,2017,    21.1,    31.2,    47.7,    15.6,    73.8,     3.2,    15.2,    19.4,    10.1,    26.4,    36.2,    19.5,    20.5,,     1.3,     7.1,     1.4,     2.7,     1.8,     1.7,     8.7,    78.2
"Herkomst: geb. in NL, ouders in NL",Waarde,2017,    21.2,    32.1,    46.8,    15.7,    74.0,     3.3,    15.5,    19.4,    10.2,    26.8,    36.8,    19.5,    20.7,,     1.3,     6.6,     1.5,     2.7,     1.9,     1.7,     8.3,    78.6
"Herkomst: geb. in NL, ouder(s) buiten NL",Waarde,2017,    20.8,    24.2,    55.0,    15.0,    71.9,     2.7,    13.0,    19.1,     9.3,    23.0,    31.3,    19.1,    18.0,,     1.2,    11.5,     0.8,     3.0,     1.2,     1.8,    12.3,    74.3
